vacancy_name,gender,age,city,skills,experience,last_job,resume_url
Project manager,Мужчина,41,Москва,"CRM,Agile Project Management,Project management,Risk management,Data Analysis,System Integration","Опыт работы ,20, ,лет",UniCredit Bank,https://hh.ru/resume/b022df3d00064d6bbf0039ed1f796f43506a4a?hhtmFrom=resume_search_result&query=Data
Summer Intern,Male,,Moscow,"Python,SQL,R,MS Excel,Latex,Russian Accounting Standards (RAS),IFRS,US GAAP","Work experience ,4, ,months","National Research University 'Higher School of Economics', Moscow",https://hh.ru/resume/0b1fe0bd0007a503fc0039ed1f74715a4f6a61?hhtmFrom=resume_search_result&query=Data
"DIRECTOR - FINANCE|BLOCKCHAIN>edu: SORBONNE PhD, OXFORD PGDip, CAMBRIDGE MBA |exp: CRYPTO, CITIBANK|",Male,,Moscow,"Business Development,Strategic Management,Financial Strategy,Investment Analysis,Investment Planning,Investment Advisory,Relationship Management,Exchange Trading,Portfolio Management","Work experience ,11, ,years, ,3, ,months",,https://hh.ru/resume/02789d6100041ddb160039ed1f674f33556945?hhtmFrom=resume_search_result&query=Data
chief data officer,Мужчина,38,Москва,"Big Data,Data science,Управление проектами,Стратегическое планирование,Бизнес-планирование,CRM,Аналитика продаж,Мотивация,Бизнес отчетность,MIS,Стратегический маркетинг,Аналитические исследования","Опыт работы ,13, ,лет, ,1, ,месяц",,https://hh.ru/resume/d2361be7000738684d0039ed1f4b737a65504d?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,23,Москва,"Эконометрика,RStudio,Python,MS Office,Математическая статистика,Подготовка презентаций,Анализ данных,SQL,теория вероятности,machine learning","Опыт работы ,1, ,год, ,1, ,месяц","Российская экономическая школа, Москва",https://hh.ru/resume/142043fa00064f5eb20039ed1f4c394f51636b?hhtmFrom=resume_search_result&query=Data
"Аналитик инвестиционный, проектный, руководитель отдела, проектов, направления, структурной единицы",Мужчина,33,Москва,"Конкурентная аналитика,Управление проектами,Экономическая безопасность,Информационная безопасность,Договорная работа,Работа в команде,Государственные структуры,GR,Анализ инвестиционных проектов,Анализ ФХД,Взаимодействие с контрольными органами,Разработка концепции,Финансовое моделирование,Стратегический консалтинг,Оценка инвестиционных проектов,Инвестиционный анализ,Управление персоналом,Организаторские навыки,Маркетинговые исследования,Бюджетирование,Оперативное планирование,Английский язык,CRM,Оценка стоимости бизнеса,Бизнес-планирование,Руководство коллективом,Аналитические исследования,Девелопмент,Стратегия Развития,Project management","Опыт работы ,8, ,лет, ,9, ,месяцев","Высший институт управления, Москва",https://hh.ru/resume/a2db436100031191fe0039ed1f74574c635243?hhtmFrom=resume_search_result&query=Data
Chief Data Officer,Мужчина,42,Москва,"Анализ бизнес показателей,Гейм-дизайн,Управление командой,Python,MySQL,Преподаватель,Платежные системы,ClickHouse,Slemma,PostgreSQL,Анализ данных,SQL,MongoDB,Git,Linux,Tableau,Big Data","Опыт работы ,10, ,лет, ,8, ,месяцев",Национальный исследовательский университет «Высшая школа экономики»,https://hh.ru/resume/7d36381d00006bcf340039ed1f736563726574?hhtmFrom=resume_search_result&query=Data
Packet  Core Network Expert,Мужчина,35,Москва,"Cisco,Unix Shell Scripts,Администрирование серверов Linux,Linux,GSM,GPRS CORE,CDMA,Unix,Billing,OSI,SS7,System Integration,Test case,LTE,Packet core,DIAMETER,SGSN,MME,SGW,GGSN,PGW,HLR,HSS,PCRF,OCS,DRA,IMS,5G,4G,PCN","Опыт работы ,12, ,лет, ,10, ,месяцев",,https://hh.ru/resume/3bdc8a780000b693170039ed1f736563726574?hhtmFrom=resume_search_result&query=Data
Engineer,Male,28,Moscow,"Data Analysis,CorelDRAW,Subpump,MS Office,Adobe Illustrator,Adobe Photoshop,Prezi","Work experience ,5, ,years, ,2, ,months","Gubkin Russian State University of Oil and Gas, Moscow",https://hh.ru/resume/f2a3521700078fd2f80039ed1f454c37346e7a?hhtmFrom=resume_search_result&query=Data
Ведущий специалист,Мужчина,26,Москва,"Опытный пользователь ПК,Владение ПО MS Office, Help&Manual, Qlik Sense,Аналитика,Базы данных,Делопроизводство,Электронный документооборот,Аналитическое мышление,Внутренняя документация,Работа с базами данных,Анализ данных,Документальное сопровождение,Пользователь ПК,Работа в команде","Опыт работы ,3, ,года, ,3, ,месяца","Московский государственный университет экономики, статистики и информатики, Москва",https://hh.ru/resume/77be2694000733e0e90039ed1f3530726e7059?hhtmFrom=resume_search_result&query=Data
Data scientist ,Мужчина,19,Москва,"Внимательность к деталям,Способность работать с большими массивами информации.,Целеустремленность,Python,C#,SQL,HTML,CSS,MS SQL Server,JavaScript,Свободное владение английским",Ключевые навыки,"Национальный исследовательский технологический университет ""МИСиС"" (Московский институт стали и сплавов), Москва",https://hh.ru/resume/3cd3a44b00079d3b840039ed1f38665a4e397a?hhtmFrom=resume_search_result&query=Data
Разработчик,Мужчина,19,Москва,"Xcode,Python,Git,Английский язык,HTML,C/C++,MessageKit,Alamofire,iOS","Опыт работы ,2, ,месяца",Сбербанк,https://hh.ru/resume/829b2f1300064775810039ed1f797a44716350?hhtmFrom=resume_search_result&query=Data
Повар универсал ночная смена. 2-2,Мужчина,45,Москва,,"Опыт работы ,14, ,лет, ,7, ,месяцев",,https://hh.ru/resume/8a846ecb00006faba40039ed1f736563726574?hhtmFrom=resume_search_result&query=Data
Инженер-системотехник ( Специальность 0608),Мужчина,56,Москва,"FreeBSD,Linux,Администрирование,PHP5,Active Directory,Настройка DNS,Администрирование серверов Windows,MySQL,Apache HTTP Server,VMware,DHCP,SQL,PostgreSQL,PHP,Администрирование сетевого оборудования,MS SQL Server","Опыт работы ,17, ,лет, ,3, ,месяца","Кировский политехнический институт, Киров",https://hh.ru/resume/3ce23564000346da600039ed1f55436b307165?hhtmFrom=resume_search_result&query=Data
Junior Product Manager,Мужчина,32,Москва,"Деловая переписка,Участие в Тендерах,Работа в команде,Управление проектами,MS Outlook,Согласование договоров,Разработка технических заданий,MS Office,Деловое общение,Ведение переговоров,Ведение переписки,Пользователь ПК,Деловая коммуникация,Заключение договоров,Управление продуктом,Разработка продукта,Запуск новых продуктов","Опыт работы ,9, ,лет, ,5, ,месяцев","Самарский государственный аэрокосмический университет им. академика С.П. Королева (национальный исследовательский университет), Самара",https://hh.ru/resume/24306bd0000705a4ec0039ed1f4a756f7a6e34?hhtmFrom=resume_search_result&query=Data
Data Analyst/Аналитик,Мужчина,34,Ангарск,"Аналитическое мышление,Работа с большим объемом информации,Разработка и ведение отчетности,Анализ данных,SAP,Галактика,DocsVision,MS Office,Уверенный пользователь Excel,Деловая коммуникация,Деловая переписка,Грамотная речь,Заключение договоров,Подготовка презентаций,Организаторские навыки,Материально-техническое обеспечение,MindManager,Python,SQL,Статистический анализ,Постановка задач разработчикам,Внутренний контроль,Анализ бизнес показателей,Сбор и анализ информации","Опыт работы ,9, ,лет",,https://hh.ru/resume/14265c1e00076f225c0039ed1f4f3962785555?hhtmFrom=resume_search_result&query=Data
"Category Management, Trade Marketing, Channel Activation, Business Development ",Женщина,45,Москва,,"Опыт работы ,23, ,года, ,4, ,месяца",L'Oreal,https://hh.ru/resume/caf07436000006a2710039ed1f736563726574?hhtmFrom=resume_search_result&query=Data
Бизнес-аналитик,Мужчина,21,Москва,"Analytical skills,Business English,Presentation skills,Leadership Skills,Project management,Python,Data Analysis,MS Excel,Product Management,Business Consulting","Опыт работы ,2, ,года, ,9, ,месяцев",McKinsey & Company,https://hh.ru/resume/1fb3d42000065746630039ed1f306f4a495a4f?hhtmFrom=resume_search_result&query=Data
Инженер,Мужчина,30,Москва,"AutoCAD,Autodesk Revit,Строительная механика,Сопромат,Java,Английский язык,Арабский язык,Работа в команде,Управление проектами,строительно-монтажные работы,Строительство,Спортивные мероприятия,Телевидение,Аналитический склад ума,Green building,Менеджмент,Торговля,Инвестиции","Опыт работы ,3, ,года, ,7, ,месяцев",HILTI Distribution Ltd,https://hh.ru/resume/91d21c7b00058628f90039ed1f316e6741596e?hhtmFrom=resume_search_result&query=Data
Financial/Investment Analyst,Male,23,Moscow,"Corporate Finance,Financial Analysis,MS Office,MS SharePoint,SQL,Financial Modelling,Credit Risk,Risk management,Financial Markets,Analytical skills,Investment Analysis","Work experience ,1, ,year, ,1, ,month",Schneider Electric,https://hh.ru/resume/6ffdb84a000772d6ef0039ed1f6970516f6643?hhtmFrom=resume_search_result&query=Data
Financial analyst,Male,35,Kazan,"Дебиторская задолженность,Кредиторская задолженность,Финансовый анализ,Анализ текущих финансовых показателей,Внешний финансовый аудит,Внутренний финансовый аудит,Контроль и анализ ценообразования,Сравнение внутригрупповых расчетов,Ведение переговоров,План-фактный анализ бюджета","Work experience ,9, ,years, ,8, ,months",,https://hh.ru/resume/0ca415890007cab3cb0039ed1f377651486449?hhtmFrom=resume_search_result&query=Data
Руководитель представительства (бизнес направления),Мужчина,,Нижний Новгород,,"Опыт работы ,24, ,года, ,11, ,месяцев",,https://hh.ru/resume/04f63982000000e50b0039ed1f736563726574?hhtmFrom=resume_search_result&query=Data
Intern Machine Learning engineer,Male,21,Moscow,"Python,Latex,C,Linux,SQL",Key skills,,https://hh.ru/resume/923fbb7700077ea2a30039ed1f32694e314465?hhtmFrom=resume_search_result&query=Data
Marketing manager,Male,37,Moscow,,"Work experience ,14, ,years, ,3, ,months",Johnson & Johnson,https://hh.ru/resume/4500ec9100058fc8940039ed1f456430325156?hhtmFrom=resume_search_result&query=Data
Ведущий специалист / Старший разработчик Oracle / Архитектор БД и производительности,Мужчина,37,Москва,"Oracle Pl/SQL,MS SQL,SQL,ORACLE,Разработка ПО,Delphi,Базы данных,MySQL,Assembler,Transact-SQL,Oracle 11G,erWin,Git,Atlassian Jira,Oracle 12,YouTrack","Опыт работы ,20, ,лет, ,2, ,месяца",,https://hh.ru/resume/d8b28b1200001c4de40039ed1f736563726574?hhtmFrom=resume_search_result&query=Data
Data Scientist / Software Developer (Deep&machine learning),Мужчина,34,Москва,"Python,deep learning,Математическое моделирование,Математическое программирование,Аналитические исследования,C/С++,C#,MATLAB,CUDA,OPENCL,OpenMP,DataMining,Unix/Linux.,3D","Опыт работы ,9, ,лет, ,8, ,месяцев",Сбербанк - Технологии,https://hh.ru/resume/4e6ee7a70007bc29e70039ed1f337a4b6a5873?hhtmFrom=resume_search_result&query=Data
Разработчик компьютерного зрения,Мужчина,22,Москва,"Qt,Python,Машинное обучение,SQL,Linux,C++,Глубокое обучение,Git,OpenVINO,Microsoft Visual Studio,FPGA","Опыт работы ,2, ,года, ,1, ,месяц",Национальный исследовательский университет «Высшая школа экономики»,https://hh.ru/resume/0cd370b300074d08a10039ed1f655a45704a75?hhtmFrom=resume_search_result&query=Data
Аналитик данных,Мужчина,27,Санкт-Петербург,"Windows,Linux,Базы данных,Статистический анализ,Анализ данных,Работа с базами данных,SQL,MySQL,MS Excel,MS Word,MS Office,Работа с большим объемом информации,Точность и внимательность к деталям,Работоспособность,Internet,Поиск информации в интернет,Работа в команде,Английский язык,Python,Git,Big Data,Data Analysis,Data Mining,Data Science,Jupyter Notebook,Numpy,Pandas,Matplotlib,Scikit-Learn,Прогнозирование","Опыт работы ,2, ,года, ,6, ,месяцев",Yota,https://hh.ru/resume/144db75700075471050039ed1f6c3743313876?hhtmFrom=resume_search_result&query=Data
Translator / Interpreter in oil & gas industry,Мужчина,57,Москва,,"Опыт работы ,29, ,лет, ,11, ,месяцев",,https://hh.ru/resume/2643b9c90000666b530039ed1f736563726574?hhtmFrom=resume_search_result&query=Data
Scala developer,Male,35,Saint Petersburg,"SCALA,Akka,Java,SQL,Play,Agile Project Management,TDD,Big Data,High Load,PostgreSQL,ORACLE,Git,MySQL,Team management,Teamleading,REST,XML,Intellij IDEA,JDBC,Маркировка,HBase,Phoenix","Work experience ,4, ,years, ,1, ,month","Moscow Kutafin State Law Academy, Moscow",https://hh.ru/resume/56eb306f0002f08b6c0039ed1f7a4779666232?hhtmFrom=resume_search_result&query=Data
ML/DS,Male,22,Moscow,"Git,Linux,SQL,Python,Numpy,Keras,C++,Neural networks,CNN,machine learning,data science,supervised,computer vision,pytorch,Mathematical Statistics","Work experience ,2, ,years, ,9, ,months","St. Petersburg State University of Aerospace Instrumentation, Saint Petersburg",https://hh.ru/resume/339366e100072e7e5a0039ed1f476a63766336?hhtmFrom=resume_search_result&query=Data
Junior Product Owner,Male,22,Moscow,"Agile Project Management,Python,MS Excel,Scrum,Английский язык,Data Analysis,HTML,CSS,GNU/Linux,Market Research,Luxury products","Work experience ,10, ,months","Филиал Национального исследовательского университета ""Высшая школа экономики"", Нижний Новгород",https://hh.ru/resume/7464ae680006d2f59c0039ed1f466c474a3171?hhtmFrom=resume_search_result&query=Data
English teacher,Male,29,Moscow,,"Work experience ,5, ,years, ,2, ,months",,https://hh.ru/resume/c2567abc0004575a330039ed1f6f4c39347344?hhtmFrom=resume_search_result&query=Data
Data Scientist intern,Мужчина,22,Москва,"machine learning,Data Analysis,SQL,C++,Python,Математическая статистика,Теория вероятностей",Ключевые навыки,"Московский государственный технический университет им. Н.Э. Баумана, Москва",https://hh.ru/resume/da3821c400079f7a370039ed1f766738794466?hhtmFrom=resume_search_result&query=Data
Digital Project Manager,Мужчина,,Москва,"MS Office,CRM,Investment Banking,Project management,Organizational Structure,Data Analysis,BPMN,PMBOK,Mathematical Modeling,Statistics,Time Series Analysis,Big Data,Algorithms and Data Structures,Agile Project Management,Atlassian Jira,MS Project,Scrum,Kanban,Product Management,Product Backlog,MS Project Expert,MS PowerPoint,Business Analysis,Team management,ERP Systems,Presentation skills,Business Planning,Teambuilding,Teamleading,Time management","Опыт работы ,3, ,года, ,7, ,месяцев",Красцветмет,https://hh.ru/resume/aabec09a00075c89ee0039ed1f6c76456f5356?hhtmFrom=resume_search_result&query=Data
Linguist/translator,Female,,Moscow,"Good communication skills,Intercultural Communication Experience,Teamwork,English language,Work with large amounts of information,Systematic thinking,Organization,MS Office,Friendliness,Stress resistance,Spanish language","Work experience ,1, ,year, ,3, ,months","Moscow State Linguistic University, Moscow",https://hh.ru/resume/a9204979000779c02b0039ed1f71494d776c4c?hhtmFrom=resume_search_result&query=Data
Старший финансовый аналитик,Мужчина,,Москва,"Бюджетирование,Финансовый контроль,Финансовый анализ,IFRS,Консолидация финансовой отчетности,SAP BW,SAP ERP,SCALA,SAP,VBA,Разработка и внедрение политик и процедур,Оптимизация бизнес-процессов,МСФО,Финансовая отчетность,Trade Marketing","Опыт работы ,15, ,лет, ,5, ,месяцев",Coca-Cola HBC Russia,https://hh.ru/resume/373ef7290006492d4b0039ed1f346764495a4a?hhtmFrom=resume_search_result&query=Data
Программист Python,Мужчина,25,Москва,"Linear Programming,Математическое программирование,Математический анализ,MATLAB,Разработка ПО,Математическое моделирование,Python,Аналитические исследования,MS Visual Studio,Статистический анализ,C++,MS PowerPoint,Организаторские навыки,Организация мероприятий,Деловое общение,Математическая статистика,Анализ данных,Data Mining,Data Analysis,Работа в команде,golang,XML,Научная деятельность,Научные исследования,IDEF0,CUDA,Поисковые системы,Поиск объектов,Российские поисковые системы","Опыт работы ,5, ,лет",Леруа Мерлен,https://hh.ru/resume/8c76f980000374a5d70039ed1f623973476373?hhtmFrom=resume_search_result&query=Data
Account manager/менеджер по работе с клиентами и партнерами,Женщина,43,Москва,,"Опыт работы ,22, ,года, ,5, ,месяцев",Orange Business Services,https://hh.ru/resume/f2b4a63400018c5b610039ed1f5934756d6f31?hhtmFrom=resume_search_result&query=Data
Lead Engineer,Male,32,Moscow,"MicroStation,Terrasolid,Global Mapper,Visual Studio C#,Borland C++,HTML,CSS,JavaScript,VBA,CMS Wordpress,Laravel,PHP,Vue.js","Work experience ,12, ,years, ,6, ,months",,https://hh.ru/resume/7295de2b000745ac8c0039ed1f6a6d75737043?hhtmFrom=resume_search_result&query=Data
Data scientist/Quantitative analyst,Мужчина,25,Франция,"Аналитический склад ума,Опытный пользователь ПК,Работа в команде,Английский язык,Работа с большим объемом информации,Водительское удостоверение категории B,Ориентация на результат,Работа с базами данных,Грамотная речь,Деловое общение,Деловая переписка,Проведение презентаций,MS PowerPoint,MS Excel,Stata,Sas,RStudio,MS Office,R,SQL,Python,NoSQL,MongoDB,MySQL,Machine learning","Опыт работы ,1, ,год, ,5, ,месяцев",Philip morris international,https://hh.ru/resume/f8454926000314da9b0039ed1f594a31327239?hhtmFrom=resume_search_result&query=Data
Head of Analyst / Senior Data Analyst,Женщина,40,Москва,"Маркетинговый анализ,Маркетинговые исследования,Бизнес-анализ,Анализ рынка,Аналитические исследования,Статистический анализ,Исследования рынка,Анализ бизнес показателей,Анализ данных,Управление персоналом,Стратегический маркетинг,Подбор персонала,SQL,Tableau,Мобильный маркетинг,Market Research,A/B тесты,Business Analysis,MS Excel,Google Analytics,Яндекс.Метрика,Analytical skills,Amplitude,Flurry,Firebase,Localytics,DBT,Оценка потребностей клиентов,Аналитика,Аналитическое мышление","Опыт работы ,17, ,лет, ,4, ,месяца",Яндекс,https://hh.ru/resume/5ca8a9bb00026a53f80039ed1f396c7949594d?hhtmFrom=resume_search_result&query=Data
Руководитель проекта/эксплуатации ЦОД,Мужчина,32,Москва,Ведение переговоров,"Опыт работы ,15, ,лет, ,1, ,месяц","РТИ, ОАО",https://hh.ru/resume/295691690000ea40b10039ed1f546d43646555?hhtmFrom=resume_search_result&query=Data
Data scientist,Мужчина,34,Москва,"Python,MySQL","Опыт работы ,7, ,лет, ,9, ,месяцев",,https://hh.ru/resume/18b00ec000075026800039ed1f35795a475757?hhtmFrom=resume_search_result&query=Data
Начальник управления ИТ,Мужчина,40,Москва,"Управление персоналом,Обучение персонала,Подбор персонала,Мотивация персонала,Управленческие навыки,Подготовка презентаций,Заключение договоров,Бюджетирование,Организаторские навыки,Ведение переговоров,Agile Project Management,Project management,PMBOK,PMI,Scrum,Atlassian Jira,Sas,SAP Business Objects,Account Management,ITIL,ITSM,ARIS,Atlassian Confluence,VMware,Hadoop,OpenShift,Big Data,IBM Websphere MQ, Websphere MB, WAS, ESB,PostgreSQL, Oracle, Teradata, DB2,Linux, Unix, AIX, Windows, OS/400, i5/OS","Опыт работы ,19, ,лет",Сбербанк,https://hh.ru/resume/ca83794e0007af99b60039ed1f3144374e6670?hhtmFrom=resume_search_result&query=Data
Помощник продюсера,Женщина,30,Челябинск,"Организаторские навыки,Управление проектами,Ориентация на результат,Лидерские качества,Ведение переговоров,Грамотная речь,Аналитический склад ума,Работа в команде,Управление командой","Опыт работы ,10, ,лет, ,8, ,месяцев","Цифровая Собственность, ООО",https://hh.ru/resume/7106449e000799e16c0039ed1f66614c495a45?hhtmFrom=resume_search_result&query=Data
Менеджер по развитию бизнеса,Мужчина,26,Москва,"Лидерство,Проведение презентаций,Руководство коллективом,SQL,MS SQL,Python,Аналитические исследования,Работа с системами аналитики,B2B Продажи,Математическая статистика,Математическое программирование,Machine learning,Работа с ключевыми клиентами,Android SDK,Big Data,Hardware,Scikit-learn,Bash,Linux,Английский язык,Аналитическое мышление,Навыки презентации,Аналитика,Математический анализ,Анализ данных,Пользователь ПК,Ведение переговоров,Управление проектами","Опыт работы ,5, ,лет, ,5, ,месяцев",The Skolkovo Institute of Science and Technology,https://hh.ru/resume/83c672bb0002f69b0d0039ed1f555234503471?hhtmFrom=resume_search_result&query=Data
Engineer,Female,43,Moscow,"Lotus Notes,MS Visio,CRM,Работа с жалобами клиентов,Анализ данных,Проведение опросов,Статистический анализ,Техническая поддержка,Работа с претензиями,MS Office,Проведение тестирований,OSIX,MasterClaw,MS Outlook","Work experience ,23, ,years, ,8, ,months","Moscow Technical University of Communications and Informatics, Moscow",https://hh.ru/resume/0eb101340007c7ab2c0039ed1f396c64303044?hhtmFrom=resume_search_result&query=Data
Business Analyst/Development,Male,32,Moscow,"Analysis,Big Data,Corporate Finance,Financial Management,Equity,Asset Management,P&L,Python,MS Excel,Stata,Business Administration,Business Strategy,Market Research,Purchasing Strategy,Business English,Teamplayer,Strong Communication Skills,Advanced MS Office,Fluent English (written and spoken),Ability to meet tight deadlines,Attentiveness to Detail,Advanced Research Skills,Ability to Structure Large Data Sets,Strong Analytical Skills,Understanding of Financial Statements,Ability to Review and Comment on a Company Key Financial Indicators,Visualization of Market Insights and Findings,Market Insights for Deals and Investment Decision-Making,Just-in-time manufacturing,Supply Chain Management","Work experience ,5, ,years, ,3, ,months",,https://hh.ru/resume/33bc0ba80007b409190039ed1f57707131574f?hhtmFrom=resume_search_result&query=Data
C++ Разработчик,Male,27,Baku,"Java,Python,MySQL,C++,ООП,C,Qt,STL,Intellij IDEA,Boost,Git","Work experience ,3, ,years, ,8, ,months",,https://hh.ru/resume/04625fe900073bd6c70039ed1f6b4e47707030?hhtmFrom=resume_search_result&query=Data
Financial analyst/Power BI specialist,Male,39,Moscow,"MS Excel,MS Power query,DAX,Financial Analysis,Data consolidation,Black line,MS Power BI,Budgeting,Variance Analysis,Oracle Hyperion,VBA,SQL","Work experience ,9, ,years, ,7, ,months",,https://hh.ru/resume/239f08e400077c0ceb0039ed1f45434c4b6431?hhtmFrom=resume_search_result&query=Data
Junior Data Scientist,Мужчина,20,Москва,"Знание ОС Windows, Linux.,Язык Python. Библиотеки NumPy, Pandas, Matplotlib, Selenium и Torch.,Язык R. Регрессионный анализ и инструменты визуализации.,Глубокое машинное обучение.,PIL SQL. Агрегация. Оконные функции","Опыт работы ,1, ,год, ,3, ,месяца",Сбербанк,https://hh.ru/resume/12c1758e0005ad18d30039ed1f4a5635526671?hhtmFrom=resume_search_result&query=Data
exhibition manager,Женщина,41,Москва,,"Опыт работы ,18, ,лет, ,7, ,месяцев",,https://hh.ru/resume/ed16d2a30000182be30039ed1f736563726574?hhtmFrom=resume_search_result&query=Data
Инженер-тестировщик,Мужчина,21,Москва,"Знание методологии тестирования,Базовое знание SQL,Описание бизнес-процессов,Java,Python,Знание ООП,Data labeling,HTML,CSS,PHP,CMS Wordpress,MS Visual Studio","Опыт работы ,2, ,месяца",Росгосстрах,https://hh.ru/resume/5f819f910007ad30570039ed1f467576774b79?hhtmFrom=resume_search_result&query=Data
Sales Director (B2B).,Male,53,Moscow,"Sales Management,Account Management,Leadership Skills,Sales Skills,Project management,B2B Marketing,Team management,Analytical skills,Teamleading,Business Planning,Internet Marketing","Work experience ,16, ,years, ,11, ,months",,https://hh.ru/resume/7118dbb60002c5440c0039ed1f32364d774250?hhtmFrom=resume_search_result&query=Data
Financial analyst,Мужчина,23,Москва,"MATLAB,Python,Английский язык,Математическое программирование,Аналитические исследования,Аналитическое мышление,Работа в команде,Ведение переговоров,Анализ рисков,Управление проектами,Корпоративные финансы,Управление рисками,Ценные бумаги,Недвижимость","Опыт работы ,2, ,года, ,6, ,месяцев","Национальный исследовательский университет ""Высшая школа экономики"", Москва",https://hh.ru/resume/37e333f50003f1e2a30039ed1f787837524253?hhtmFrom=resume_search_result&query=Data
Технолог с-х продукции,Женщина,25,Москва,"Adobe Photoshop,MS Excel,MS PowerPoint,MS Word,1С: CRM ПРОФ","Опыт работы ,1, ,год, ,6, ,месяцев","Московский финансово-промышленный университет ""Синергия"", Москва",https://hh.ru/resume/70ae819300043e2dd00039ed1f6b6752365174?hhtmFrom=resume_search_result&query=Data
Specialist,Female,28,Moscow,"Teamplayer,Organization Skills,Presentation skills,Analytical skills,Project management,Team management,Английский язык,Responsibility","Work experience ,7, ,years, ,5, ,months","Russian Academy of National Economy and Public Administration under the President of the Russian Federation, Moscow",https://hh.ru/resume/dfce7d66000772af220039ed1f6c6b55414265?hhtmFrom=resume_search_result&query=Data
Oil and Gas Consultant,Male,32,Moscow,"SAP Business Objects,SAP ERP,Project management,Drilling,Oil And Gas,Data Analysis,SQL,PHP,VBA","Work experience ,15, ,years, ,3, ,months","Tomsk Polytechnic University, Tomsk",https://hh.ru/resume/97f7616b0001d024d30039ed1f306a4c436946?hhtmFrom=resume_search_result&query=Data
Director of IT Department / Head of IT Department,Male,37,Vladivostok,"Personnel motivation,Project management,Software Development,Team management,Technical support,Personnel management,Business figures analysis,Information Technology,Design team management,Budgeting,Business processes optimization,Information Security,Agile Project Management,Scrum,ITIL,24/7","Work experience ,17, ,years",,https://hh.ru/resume/15705a6400062ffcd70039ed1f534643426b59?hhtmFrom=resume_search_result&query=Data
Appraiser,Male,22,Moscow,"Financial Analysis,Big Data,Corporate Finance,Business Valuation,Investment Analysis,Financial Accounting,Financial Controlling,Financial Management,Financial Modelling","Work experience ,2, ,years, ,8, ,months",KPMG (Москва),https://hh.ru/resume/0f0599c900053b5a680039ed1f65655a704c74?hhtmFrom=resume_search_result&query=Data
Head of the department ,Male,34,Moscow,"Ecrin,MS Office,Petrel,Eclipse,Isoline,Project management,Teamleading,Time management,Business English,MySQL,Python,Jupiter,JavaScript","Work experience ,12, ,years, ,6, ,months","Moscow Academy of Entrepreneurship under the Government of Moscow, Moscow",https://hh.ru/resume/9284a821000231773f0039ed1f526b7934416a?hhtmFrom=resume_search_result&query=Data
Product manager,Female,22,Moscow,"Launching new projects,Market Research,Marketing Analysis,Leadership Skills,Data Analysis,Adobe Photoshop,Adobe Illustrator,Agile Project Management,Scrum,Atlassian Jira,Lean Production,Product Management,Amplitude,Google Analytics,Firebase,AppMetrica,YouTrack","Work experience ,3, ,years",Nielsen,https://hh.ru/resume/26e12cc00005e6d7f30039ed1f7355734a4655?hhtmFrom=resume_search_result&query=Data
Junior React JS dev,Мужчина,,Москва,,Обо мне,,https://hh.ru/resume/176812440007b3414b0039ed1f777663317154?hhtmFrom=resume_search_result&query=Data
IT engineer,Мужчина,36,Калининград,"Data Analysis,Active Directory,Windows Server,SQL,Настройка DNS,VPN,WSUS,MS SQL Server,Администрирование серверов Windows,Анализ данных,IBM Lotus Notes,MS Outlook,DHCP,MySQL,Windows 7,HTML,Microsoft Access,MS Access,Access,MS SQL,Adobe Photoshop,Windows Server 2003,Ответственное хранение,Английский язык,Ведение переговоров,Internet,Управление персоналом,Организаторские навыки,Деловая переписка,Управление продажами","Опыт работы ,19, ,лет, ,2, ,месяца","Moscow International Higher Business School MIRBIS, Moscow",https://hh.ru/resume/7a11123300042d302a0039ed1f764e776e5968?hhtmFrom=resume_search_result&query=Data
Программист Python Junior,Мужчина,44,Москва,"Python,Git,PostgreSQL,MongoDB","Опыт работы ,6, ,лет, ,9, ,месяцев","Белорусский государственный университет, Минск",https://hh.ru/resume/c92557c8000772a40b0039ed1f36504746656b?hhtmFrom=resume_search_result&query=Data
3D Artist / Level Designer,Мужчина,25,Москва,"Autodesk Maya,ZBrush,3ds Max,Python,C++","Опыт работы ,5, ,лет, ,3, ,месяца",,https://hh.ru/resume/fe3f0edb00029991d60039ed1f31546e45774b?hhtmFrom=resume_search_result&query=Data
Руководитель продуктового офиса,Женщина,34,Москва,"1C8,BPMN,MS Office,SQL,VBA,Анализ требований,Ассортиментная политика,Бизнес-анализ,Бюджетирование,Маркетинговый анализ,Мотивационные программы,Планирование,Прогнозирование,Реинжиниринг бизнес-процессов,Управление проектами,Управление товарными запасами,Управленческая отчетность,Финансовый анализ,Ценообразование,Управление продуктом,Agile Project Management,PMBOK,Product Management,Scrum,Python,BigData,Big Data","Опыт работы ,11, ,лет, ,2, ,месяца","Такском, ООО",https://hh.ru/resume/4cd01b6a000750d6180039ed1f684a5a586845?hhtmFrom=resume_search_result&query=Data
